t,energy
9.043671124934767e10,-1.4874697003396575e27
9.061058232372783e10,-1.4874696980872032e27
9.0784453398108e10,-1.4874696936439937e27
9.095832447248816e10,-1.487469687125925e27
9.113219554686833e10,-1.487469678638968e27
9.13060666212485e10,-1.48746966827078e27
9.147993769562866e10,-1.4874696560824703e27
9.165380877000883e10,-1.4874696421017226e27
9.182767984438899e10,-1.4874696263225056e27
9.200155091876917e10,-1.4874696087298196e27
9.217542199314932e10,-1.4874695894049016e27
9.23492930675295e10,-1.487469568839989e27
9.252316414190965e10,-1.4874695485639344e27
9.269703521628983e10,-1.4874695314072166e27
9.287090629066998e10,-1.4874693256303815e27
9.304477736505016e10,-1.487468681332085e27
9.321864843943031e10,-1.48746764769602e27
9.339251951381049e10,-1.487466289420798e27
9.356639058819064e10,-1.4874646844385532e27
9.374026166257082e10,-1.4874629194399068e27
9.391413273695097e10,-1.4874610850896627e27
9.408800381133115e10,-1.487459271591443e27
9.42618748857113e10,-1.4874575646293587e27
9.443574596009148e10,-1.4874560417289993e27
9.460961703447163e10,-1.487454768507559e27
9.47834881088518e10,-1.487453795618635e27
9.495735918323196e10,-1.4874531600074688e27
9.513123025761214e10,-1.4874528821040708e27
9.53051013319923e10,-1.4874528844049265e27
9.547897240637247e10,-1.4874528864539607e27
9.565284348075262e10,-1.4874528882697082e27
9.58267145551328e10,-1.4874528898714553e27
9.600058562951295e10,-1.487452891279618e27
9.617445670389313e10,-1.487452892515354e27
9.634832777827328e10,-1.4874528935997692e27
9.652219885265346e10,-1.487452894553065e27
9.669606992703362e10,-1.4874528953938434e27
9.686994100141379e10,-1.4874528961386548e27
9.704381207579395e10,-1.4874528968017892e27
9.721768315017412e10,-1.4874528973952877e27
9.739155422455428e10,-1.4874528979290644e27
9.756542529893445e10,-1.4874528984111323e27
9.773929637331462e10,-1.487452898847855e27
9.791316744769478e10,-1.4874528992442037e27
9.808703852207495e10,-1.4874528397143063e27
9.826090959645511e10,-1.4874524377401524e27
9.843478067083528e10,-1.4874517304910318e27
9.860865174521544e10,-1.4874507671389201e27
9.878252281959561e10,-1.487449604685561e27
9.895639389397577e10,-1.4874483082787947e27
9.913026496835594e10,-1.4874469463502218e27
9.93041360427361e10,-1.4874455874517715e27
9.947800711711627e10,-1.487444297212145e27
9.965187819149643e10,-1.4874431355428474e27
9.98257492658766e10,-1.4874421542078495e27
9.999962034025676e10,-1.4874413948509517e27
1.0017349141463693e11,-1.4874408875511826e27
1.0034736248901709e11,-1.4874406499505863e27
1.0052123356339726e11,-1.4874406386469657e27
1.0069510463777742e11,-1.4874406271818068e27
1.008689757121576e11,-1.487440615740288e27
1.0104284678653775e11,-1.4874406045206366e27
1.0121671786091792e11,-1.487440593732908e27
1.0139058893529808e11,-1.4874405835960194e27
1.0156446000967825e11,-1.487440574332902e27
1.0173833108405841e11,-1.4874405661638478e27
